sectors,keyword_en,keyword_es,keyword_pt
Salud,specialty drugs,medicamentos especializados,medicamentos especiais
Salud,precision medicine,medicina de precisión,medicina de precisão
Salud,personalized medicine,medicina personalizada,medicina personalizada
Salud,living medicine,medicina viva,medicina viva
Transversal,sustainability measurement,medición de la sostenibilidad,medição de sustentabilidade
Forestal,forestry measurements ,mediciones forestales ,medições florestais 
Biotecnología,long non-coding rna,arn largo no codificante,rna longo não codificante
Energía,biogas meter,medidor de biogás,medidor de biogás
Energía,biogas meter,medidor de biogás,medidor de biogás
Energía,operating biogas meter,medidor de biogás en funcionamiento,medidor de biogás operacional
Transversal,sustainable livelihood,medios de vida sostenibles,meios de subsistência sustentáveis
Biotecnología,tumor-homing bacteria,bacterias que se dirigen a los tumores,bactérias que direcionam tumores
Transversal,optimization,optimización,otimização
Biotecnología,dna-encoded chemical library,biblioteca química codificada por adn,biblioteca química codificada por DNA
Biotecnología,biochip,biochip,biochip
Biotecnología,moss bioreactor,biorreactor de musgo,biorreator de musgo
Agro,pesticide plants,plantas plaguicidas,plantas pesticidas
Energía,energy market,mercado energético,mercado de energia
Transversal,sustainable markets,mercados sostenibles,mercados sustentáveis
Biotecnología,fluorescent glucose biosensor,biosensor de glucosa fluorescente,biossensor fluorescente de glicose
Biotecnología,chem-seq,chem-seq,química-seq
Transversal,metagenics,metagénica,metagenia
Biotecnología,chip sequencing,chip-seq,sequenciamento de chips
Transversal,sustainable development goals,metas de desarrollo sostenible,metas de desenvolvimento sustentável
Agro,plant cultivation,cultivo de plantas,cultivo de plantas
Biotecnología,ta cloning,clonación ta,ta clonando
Transversal,microbiological methods,métodos microbiológicos,métodos microbiológicos
Transversal,sustainable metrics,métricas sostenibles,métricas sustentáveis
Transversal,environmental mycology,micología ambiental,micologia ambiental
Biotecnología,synchronous coefficient of drag alteration,coeficiente sincrónico de alteración de arrastre.,coeficiente síncrono de alteração de arrasto
Transversal,microalgae,microalgas,microalgas
Biotecnología,dna condensation,condensación de adn,condensação de DNA
Transversal,microbiology,microbiología,microbiologia
Piscícola,aquatic microbiology,microbiología acuática,microbiologia aquática
Agro,agricultural microbiology,microbiología agrícola,microbiologia agrícola
Transversal,environmental microbiology,microbiología ambiental,microbiologia ambiental
Transversal,applied microbiology,microbiología aplicada,microbiologia aplicada
Salud,clinical microbiology,microbiología clínica,microbiologia clínica
Agro,soil microbiology,microbiología del suelo,microbiologia do solo
Biotecnología,fed-batch culture,cultura por lotes alimentados,cultura em lote alimentado
Biotecnología,high resolution melt,derretimiento de alta resolución,fusão de alta resolução
Salud,microphysiometry,microfisiometría,microfisiometria
Biotecnología,develop biocatalytic processes,desarrollar procesos biocatalíticos.,desenvolver processos biocatalíticos
Biotecnología,primer dimer,dímero de imprimación,dímero primário
Biotecnología,drip-seq,drip-seq,gotejamento-seq
Salud,micronutrition,micronutrición,micronutrição
Biotecnología,gene knock-in,efecto genético,knock-in genético
Transversal,pathogenic microorganisms,microorganismos patógenos,microorganismos patogênicos
Transversal,microbead ,microperlas ,microesferas 
Biotecnología,gene electrotransfer,electrotransferencia genética,eletrotransferência genética
Biotecnología,homing endonuclease,endonucleasa dirigida,endonuclease homing
Biotecnología,cell culture assay,ensayo de cultivo celular,ensaio de cultura celular
Transversal,micro-sustainability,microsostenibilidad,microsustentabilidade
Transversal,data mining and knowledge discovery,minería de datos y descubrimiento de conocimientos,mineração de dados e descoberta de conhecimento
Biotecnología,selection and amplification binding assay,ensayo de unión de selección y amplificación.,ensaio de ligação de seleção e amplificação
Transversal,climate change mitigation,mitigación del cambio climático,mitigação das alterações climáticas
Biotecnología,high-performance integrated virtual environment,entorno virtual integrado de alto rendimiento,ambiente virtual integrado de alto desempenho
Transversal,bioprocess modelling,modelado de bioprocesos,modelagem de bioprocessos
Transversal,system modeling,modelado de sistemas,modelagem de sistema
Transversal,economic modeling,modelado económico,modelagem econômica
Transversal,modeling and simulation,modelado y simulación,modelagem e simulação
Transversal,inclusive business model,modelo de negocio inclusivo,modelo de negócios inclusivo
Transversal,biodiversity monitoring,monitoreo de la biodiversidad,monitoramento da biodiversidade
Transversal,monitoring of environmental parameters,monitoreo de parámetros ambientales.,monitoramento de parâmetros ambientais
Salud,morpholino,morfolino,morfolino
Piscícola,fish samples for diagnosis,muestras de peces para diagnostico,amostras de peixes para diagnóstico
Biotecnología,gene delivery,entrega de genes,entrega de genes
Biotecnología,rare-cutter enzyme,enzima cortadora rara,enzima de corte raro
Biotecnología,nicking enzyme,enzima melladora,enzima cortante
Biotecnología,biochemical analysis equipment,equipo de análisis bioquímico,equipamento de análise bioquímica
Biotecnología,substantial equivalence,equivalencia sustancial,equivalência substancial
Biotecnología,streptamer,estreptámero,estreptâmero
Biotecnología,feasibility study on biomass system,estudio de viabilidad del sistema de biomasa,estudo de viabilidade em sistema de biomassa
Biotecnología,strep-tag,etiqueta estreptocócica,tag-strep
Biotecnología,out of autoclave composite manufacturing,fabricación de composites fuera de autoclave,fora da fabricação de compósitos em autoclave
Biotecnología,fermentation at production scale,fermentación a escala de producción.,fermentação em escala de produção
Transversal,sustainable business,negocio sustentable,negócio sustentável
Biotecnología,nitrogen fertilisers,fertilizantes nitrogenados,fertilizantes nitrogenados
Biotecnología,photobiotin,fotobiotina,fotobiotina
Biotecnología,color genomics,genómica del color,genômica de cores
Biotecnología,snp genotyping,genotipado de snp,genotipagem snp
Salud,nutrition,nutrición,nutrição
Piscícola,aquaculture nutrition,nutrición acuícola,nutrição da aquicultura
Agro,animal nutrition,nutrición animal,nutrição animal
Agro,plant diseases,enfermedad de las plantas,doenças de plantas
Agro,plant physiology,fisiología vegetal,Fisiologia vegetal
Agro,soil nutrient,nutriente del suelo,nutriente do solo
Transversal,nutrigenomics,nutrigenómica,nutrigenômica
Transversal,sustainable development goal 1,objetivo de desarrollo sostenible 1,objetivo de desenvolvimento sustentável 1
Transversal,sustainable development goal 10,objetivo de desarrollo sostenible 10,objetivo de desenvolvimento sustentável 10
Transversal,sustainable development goal 11,objetivo de desarrollo sostenible 11,objetivo de desenvolvimento sustentável 11
Transversal,sustainable development goal 12,objetivo de desarrollo sostenible 12,objetivo de desenvolvimento sustentável 12
Transversal,sustainable development goal 13,objetivo de desarrollo sostenible 13,objetivo de desenvolvimento sustentável 13
Transversal,sustainable development goal 14,objetivo de desarrollo sostenible 14,objetivo de desenvolvimento sustentável 14
Transversal,sustainable development goal 15,objetivo de desarrollo sostenible 15,objetivo de desenvolvimento sustentável 15
Transversal,sustainable development goal 16,objetivo de desarrollo sostenible 16,objetivo de desenvolvimento sustentável 16
Transversal,sustainable development goal 17,objetivo de desarrollo sostenible 17,objetivo de desenvolvimento sustentável 17
Transversal,sustainable development goal 2,objetivo de desarrollo sostenible 2,objetivo de desenvolvimento sustentável 2
Transversal,sustainable development goal 3,objetivo de desarrollo sostenible 3,objetivo de desenvolvimento sustentável 3
Transversal,sustainable development goal 4,objetivo de desarrollo sostenible 4,objetivo de desenvolvimento sustentável 4
Transversal,sustainable development goal 5,objetivo de desarrollo sostenible 5,objetivo de desenvolvimento sustentável 5
Transversal,sustainable development goal 6,objetivo de desarrollo sostenible 6,objetivo de desenvolvimento sustentável 6
Transversal,sustainable development goal 7,objetivo de desarrollo sostenible 7,objetivo de desenvolvimento sustentável 7
Transversal,sustainable development goal 8,objetivo de desarrollo sostenible 8,objetivo de desenvolvimento sustentável 8
Transversal,sustainable development goal 9,objetivo de desarrollo sostenible 9,objetivo de desenvolvimento sustentável 9
Biotecnología,rabbit hybridoma,hibridoma de conejo,hibridoma de coelho
Salud,oncogenomics,oncogenómica,oncogenômica
Biotecnología,genetically encoded voltage indicator,indicador de voltaje codificado genéticamente.,indicador de tensão geneticamente codificado
Agro,farming operations,operaciones agrícolas,operações agrícolas
Transversal,production operations,operaciones de producción,operações de produção
Salud,health operations,operaciones de salud,operações de saúde
Transversal,safety operations,operaciones de seguridad,operações de segurança
Transversal,operate in different climatic situations,operar en diferentes situaciones climáticas.,operar em diferentes situações climáticas
Agro,vegetables ,hortalizas ,vegetais 
Transversal,bioprocess optimization,optimización de bioprocesos,otimização de bioprocessos
Transversal,process optimization,optimización de procesos,processo otimizado
Transversal,design optimization,optimización del diseño,otimização de projeto
Transversal,optoelectrowetting,optoelectrohumectación,optoeletrowetting
Biotecnología,tnf inhibitor,inhibidor del tnf,inibidor de tnf
Biotecnología,protein–dna interaction,interacción proteína-adn,interação proteína-dna
Biotecnología,protein–protein interaction,interacción proteína-proteína,interação proteína-proteína
Turismo,natural heritage,patrimonio natural,herança natural
Biotecnología,isoschizomer,isosquizómero,isosquizômero
Biotecnología,gene knockout,knockout genético,nocaute genético
Biotecnología,molecularlab,laboratorio molecular,laboratório molecular
Biotecnología,split-intein circular ligation of peptides and proteins,ligadura circular dividida entre péptidos y proteínas.,ligação circular split-intein de peptídeos e proteínas
Biotecnología,smart ligand,ligando inteligente,ligante inteligente
Biotecnología,list of homing endonuclease cutting sites,lista de sitios de corte de endonucleasas localizadas,lista de locais de corte de endonuclease homing
Agro,permaculture,permacultura,permacultura
Piscícola,fisheries,pesca,pesca
Piscícola,aquaculture fisheries,pesca acuícola,pesca aquícola
Agro,pharming (genetics),pharming (genética),Farmacêutica (genética)
Biotecnología,stable isotope labeling by amino acids in cell culture,marcado de isótopos estables por aminoácidos en cultivos celulares.,marcação de isótopos estáveis ​​​​por aminoácidos em cultura celular
Biotecnología,molecular-weight size marker,marcador de tamaño de peso molecular,marcador de tamanho de peso molecular
Agro,leguminous plants thresher,trilladora de leguminosas,debulhador de leguminosas
Forestal,forest management plans,planes de manejo forestal,planos de manejo florestal
Biotecnología,plant breeding ,mejoramiento vegetal ,melhoramento de plantas 
Biotecnología,plant biochemistry,bioquimica vegetal,bioquímica vegetal
Forestal,tree population,población de árboles,população de árvores
Energía,energy poverty,pobreza energética,pobreza energética
Agro,polycultures,policultivos,policulturas
Biotecnología,lipid bilayer mechanics,mecánica de la bicapa lipídica.,mecânica da bicamada lipídica
Biotecnología,fermentation mechanisms of food,mecanismos de fermentación de los alimentos.,mecanismos de fermentação dos alimentos
Biotecnología,fermentation measures of food,medidas de fermentación de los alimentos.,medidas de fermentação de alimentos
Transversal,environmental policy,política de medio ambiente,politica ambiental
Agro,agricultural policies,políticas agrícolas,políticas agrícolas
Transversal,sustainable management policies,políticas de gestión sostenible,políticas de gestão sustentável
Biotecnología,meganuclease,meganucleasa,meganuclease
Transversal,sample preparation,preparación de la muestra,Preparação de amostra
Biotecnología,methods of microalgae production,métodos de producción de microalgas.,métodos de produção de microalgas
Transversal,pollution prevention,prevención de la contaminación,prevenção de poluição
Transversal,economic forecasts,previsiones económicas,previsões económicas
Transversal,substitution principle ,principio de sustitución ,princípio da substituição 
Biotecnología,cellular microarray,microarray celular,microarranjo celular
Agro,sustainable agricultural production principles,principios de producción agrícola sostenible,princípios de produção agrícola sustentável
Biotecnología,minigene,minigen,minigene
Biotecnología,knockout moss,musgo knockout,musgo nocauteador
Biotecnología,mutanome,mutanome,mutanome
Biotecnología,polyphosphate-accumulating organisms,organismos acumuladores de polifosfatos,organismos acumuladores de polifosfato
Agro,food processing,procesamiento de alimentos,processamento de comida
Transversal,biomass processing,procesamiento de biomasa,processamento de biomassa
Salud,biomedical signal processing,procesamiento de señales biomédicas,processamento de sinal biomédico
Biotecnología,folate targeting,orientación al folato,direcionamento de folato
Biotecnología,crispr-display,pantalla crispr,display crispr
Biotecnología,rnase h-dependent pcr,pcr dependiente de arnasa h,pcr dependente de rnase h
Transversal,process development,proceso de desarrollo,processo de desenvolvimento
Biotecnología,cold-pcr,pcr en frío,PCR a frio
Biotecnología,molecular glue,pegamento molecular,cola molecular
Biotecnología,pegylation,pegilación,peguilação
Biotecnología,dna clamp,pinza de adn,braçadeira de DNA
Biotecnología,pyrosequencing,pirosecuenciación,pirosequenciamento
Residuos,waste management processes,procesos de gestión de residuos,processos de gestão de resíduos
Agro,food production processes,procesos de producción de alimentos,processos de produção de alimentos
Transversal,starch production processes,procesos de producción de almidón.,processos de produção de amido
Agro,sustainable agricultural production,producción agrícola sostenible,produção agrícola sustentável
Agro,animal production,producción animal,produção animal
Energía,biological hydrogen production,producción biológica de hidrógeno.,produção biológica de hidrogênio
Energía,biofuel production,producción de biocombustibles,produção de biocombustíveis
Energía,bioethanol production,producción de bioetanol,produção de bioetanol
Energía,biohydrogen production,producción de biohidrógeno,produção de biohidrogênio
Energía,biogas energy production,producción de energía de biogás,produção de energia de biogás
Energía,production of ethanol,producción de etanol,produção de etanol
Transversal,microalgae production,producción de microalgas,produção de microalgas
Biotecnología,single-nucleotide polymorphism,polimorfismo de nucleótido simple,Polimorfismo de nucleotídeo único
Agro,livestock productivity,productividad ganadera,produtividade pecuária
Transversal,green gross domestic product,producto interno bruto verde,produto interno bruto verde
Biotecnología,yeast fermentation principles,principios de fermentación de la levadura.,princípios de fermentação de levedura
Residuos,coal combustion products,productos de combustión de carbón,produtos de combustão de carvão
Biotecnología,fermentation procedures of food,procedimientos de fermentación de los alimentos.,procedimentos de fermentação de alimentos
Biotecnología,plant breeding system,sistema de mejoramiento vegetal,sistema de melhoramento de plantas
Transversal,intellectual property,propiedad intelectual,propriedade intelectual
Agro,crop protection,protección de cultivos,Proteção de Cultivos
Transversal,biodiversity protecting,protección de la biodiversidad,proteção da biodiversidade
Biotecnología,wine fermentation process,proceso de fermentación del vino.,processo de fermentação do vinho
Biotecnología,fermentation processes of food,procesos de fermentación de los alimentos.,processos de fermentação de alimentos
Transversal,proteins,proteínas,proteínas
Biotecnología,tac-promoter,promotor táctico,promotor tático
Salud,proteolysis targeting chimera,proteólisis dirigida a quimera,proteólise visando quimera
Biotecnología,rapid antigen test,prueba rápida de antígenos,teste rápido de antígeno
Salud,visible embryo project,proyecto de embrión visible,projeto de embrião visível
Salud,laboratory testing,prueba de laboratorio,"Testando em laboratório ""ou"" Teste experimental"
Salud,genetic testing,prueba genética,teste genético
Biotecnología,lung-on-a-chip,pulmón en un chip,pulmão em um chip
Biotecnología,carry out cell culture analysis,realizar análisis de cultivos celulares.,realizar análise de cultura celular
Salud,diagnostic testing,pruebas de diagnóstico,testes de diagnóstico
Biotecnología,perform a feasibility study on biomass systems,realizar un estudio de viabilidad sobre sistemas de biomasa,realizar um estudo de viabilidade em sistemas de biomassa
Biotecnología,site-specific recombination,recombinación específica del sitio,recombinação específica do local
Biotecnología,single cell sequencing,secuenciación de células individuales,sequenciamento de célula única
Biotecnología,abi solid sequencing,secuenciación de sólidos abi,sequenciamento sólido abi
Biotecnología,third-generation sequencing,secuenciación de tercera generación,sequenciamento de terceira geração
Transversal,chemistry,química,química
Transversal,applied chemistry,quimica aplicada,química Aplicada
Biotecnología,whole genome sequencing,secuenciación del genoma,sequenciamento completo do genoma
Transversal,natural product chemistry,química de productos naturales,química de produtos naturais
Transversal,protein chemistry,química de proteínas,química de proteínas
Transversal,natural chemistry,quimica natural,química natural
Biotecnología,genome sequencing,secuenciación del genoma de especies en peligro de extinción.,sequenciamento do genoma
Biotecnología,solid phase sequencing,secuenciación en fase sólida,sequenciamento de fase sólida
Biotecnología,single molecule fluorescent sequencing,secuenciación fluorescente de una sola molécula.,sequenciamento fluorescente de molécula única
Biotecnología,ion semiconductor sequencing,secuenciación ion torrent,sequenciamento de semicondutores iônicos
Biotecnología,dna separation by silica adsorption,separación de adn por adsorción de sílice.,separação de DNA por adsorção de sílica
Biotecnología,dna‐templated organic synthesis,síntesis orgánica con plantilla de adn,síntese orgânica modelada por DNA
Biotecnología,vacuum dewatering system,sistema de deshidratación al vacío,sistema de desidratação a vácuo
Agro,land recycling,reciclaje de tierras,reciclagem de terras
Agro,crop gathering,recolección de cultivos,coleta de colheita
Biotecnología,artificially expanded genetic information system,sistema de información genética ampliado artificialmente,sistema de informação genética expandido artificialmente
Residuos,waste resources,recursos desperdiciados,desperdiçar recursos
Transversal,reduce environmental impact on the surrounding area,reducir el impacto ambiental en el entorno,reduzir o impacto ambiental na área circundante
Residuos,waste regulation,regulación de residuos,regulamentação de resíduos
Transversal,environmental remediation,remediación ambiental,remediação ambiental
Agro,crop yields,rendimientos de los cultivos,rendimentos das colheitas
Transversal,reforestation,repoblación forestal,reflorestamento
Agro,animal reproduction,reproducción animal,reprodução animal
Residuos,biodegradable waste,residuos biodegradables,resíduos biodegradáveis
Residuos,biochemical waste,residuos bioquímicos,resíduos bioquímicos
Residuos,animal feeds waste,residuos de alimentos para animales,resíduos de ração animal
Residuos,waste from fish harvesting,residuos de la pesca,resíduos da pesca
Residuos,metabolic waste,residuos metabólicos,resíduos metabólicos
Transversal,systemic change resistance,resistencia al cambio sistémico,resistência à mudança sistêmica
Transversal,corporate social responsibility,responsabilidad social corporativa,responsabilidade social corporativa
Agro,soil irrigation,riego del suelo,irrigação do solo
Transversal,spray drying,secado por aspersión,secagem por pulverização
Biotecnología,smile-seq,sonrisa-seq,sorriso-seq
Biotecnología,subtelomere,subtelómero,subtelômero
Biotecnología,suppression subtractive hybridization,supresión de hibridación sustractiva.,supressão subtrativa hibridização
Biotecnología,bioremediation techniques,técnicas de biorremediación,técnicas de biorremediação
Biotecnología,techniques of microalgae production,técnicas de producción de microalgas.,técnicas de produção de microalgas
Biotecnología,tk cell therapy,terapia con células tk,terapia celular tk
Biotecnología,gene therapy,terapia de genes,terapia de genes
Biotecnología,spatial transcriptomics,transcriptómica espacial,transcriptômica espacial
Biotecnología,magnet-assisted transfection,transfección asistida por imán,transfecção assistida por ímã
Biotecnología,transfer dna binary system,transferir sistema binario de adn.,transferir sistema binário de DNA
Energía,carbon sequestration,secuestro de carbón,sequestro de carbono
Piscícola,fisheries monitoring,seguimiento de la pesca,monitorização da pesca
Agro,food security,seguridad alimentaria,comida segura
Biotecnología,dna field-effect transistor,transistor de efecto de campo de adn,transistor de efeito de campo de DNA
Residuos,sawdust,serrín,serragem
Agro,agricultural services,servicios agrícolas,serviços agrícolas
Transversal,ecosystem services,servicios de ecosistema,serviços de ecossistemas
Forestal,forestry,silvicultura,silvicultura
Transversal,bioprocess simulation,simulación de bioprocesos,simulação de bioprocessos
Transversal,process simulation,simulación de procesos,simulação de processo
Transversal,matlab simulation,simulaciónmatlab,simulação matlab
Transversal,organic synthesis,síntesis orgánica,síntese orgânica
Biotecnología,vectors in gene therapy,vectores en terapia génica,vetores em terapia genética
Agro,agri-food system,sistema agroalimentario,sistema agroalimentar
Agro,agroforestry system,sistema agroforestal,sistema agroflorestal
Energía,biogas system,sistema de biogás,sistema de biogás
Transversal,biomass system,sistema de biomasa,sistema de biomassa
Biotecnología,next generation sequencing,secuenciación de próxima generación,sequenciamento de próxima geração
Biotecnología,allo-715,alo-715,alo-715
Agro,food systems,sistemas alimentarios,sistemas alimentares
Piscícola,aquaculture systems,sistemas de acuicultura,sistemas de aquicultura
Agro,food-energy systems,sistemas de energía alimentaria,sistemas de energia alimentar
Energía,renewable energy systems,sistemas de energía renovable,sistemas de energia renovável
Energía,solar power systems,sistemas de energía solar,sistemas de energia solar
Salud,delivery systems,sistemas de entrega,sistemas de entrega
Energía,natural gas systems,sistemas de gas natural,sistemas de gás natural
Transversal,production systems,sistemas de producción,sistemas de produção
Transversal,dynamic systems,sistemas dinámicos,sistemas dinâmicos
Biotecnología,plant genetics,genetica vegetal,genética de plantas
Transversal,nature based solutions,soluciones basadas en la naturaleza,soluções baseadas na natureza
Transversal,climate solutions,soluciones climáticas,soluções climáticas
Biotecnología,bamhi,bamhi,bamhi
Biotecnología,plant molecular biology,biología molecular vegetal,biologia molecular vegetal
Transversal,sustain bio-diversity,sostener la biodiversidad,sustentar a biodiversidade
Transversal,sustainability,sostenibilidad,sustentabilidade
Transversal,computational sustainability,sostenibilidad computacional,sustentabilidade computacional
Transversal,environmental sustainability,sostenibilidad del medio ambiente,sustentabilidade ambiental
Transversal,urban sustainability,sostenibilidad urbana,sustentabilidade urbana
Biotecnología,biocyc database collection,colección de bases de datos biocyc,coleção de banco de dados biocyc
Biotecnología,function-spacer-lipid kode construct,construcción kode función-espaciador-lípido,construção de código de função-espaçador-lipídio
Agro,soil,suelo,solo
Biotecnología,ecori,ecori,ecori
Transversal,taxonomy,taxonomía,taxonomia
Biotecnología,plant biotechnology,biotecnología vegetal,biotecnologia vegetal
Biotecnología,eftilagimod alpha,eftilagimod alfa,eftilagimod alfa
Biotecnología,flap endonuclease,endonucleasa de colgajo,endonuclease de retalho
Agro,storage techniques,técnicas de almacenamiento,técnicas de armazenamento
Biotecnología,exposome,exposoma,expor
Biotecnología,flowfet,flujofet,fluxo
Transversal,decontamination techniques,técnicas de descontaminación,técnicas de descontaminação
Residuos,waste disposal techniques,técnicas de eliminación de residuos,técnicas de eliminação de resíduos
Biotecnología,genocad,genocad,Genocad
Biotecnología,i-crei,i-crei,eu-crei
Biotecnología,ilcd,ilcd,ilcd
Transversal,climate tech,tecnología climática,tecnologia climática
Transversal,bioprocess technology,tecnología de bioprocesos,tecnologia de bioprocessos
Energía,biomass fuel technology,tecnología de combustible de biomasa,tecnologia de combustível de biomassa
Biotecnología,list of restriction enzyme cutting sites,lista de sitios de corte de enzimas de restricción,lista de locais de corte de enzimas de restrição
Agro,food technology,tecnología de los alimentos,tecnologia alimentar
Transversal,microalgae technology,tecnología de microalgas,tecnologia de microalgas
Transversal,green chemistry technology,tecnología de química verde,tecnologia de química verde
Biotecnología,list of restriction enzyme cutting sites: a,lista de sitios de corte de enzimas de restricción: a,lista de locais de corte de enzimas de restrição: a
Energía,biofuel energy technology,tecnología energética de biocombustibles,tecnologia de energia de biocombustíveis
Energía,technology for renewable energy,tecnología para energías renovables,tecnologia para energias renováveis
Biotecnología,list of restriction enzyme cutting sites: ba–bc,lista de sitios de corte de enzimas de restricción: ba – bc,lista de locais de corte de enzimas de restrição: ba – bc
Transversal,green technology,tecnología verde,tecnologia verde
Energía,renewable energy technologies,tecnologías de energías renovables,tecnologias de energia renovável
Energía,hydrogen technologies,tecnologías de hidrógeno,tecnologias de hidrogénio
Biotecnología,list of restriction enzyme cutting sites: bd–bp,lista de sitios de corte de enzimas de restricción: bd-bp,lista de locais de corte de enzimas de restrição: bd – bp
Salud,antisense therapy,terapia antisentido,terapia anti-sentido
Biotecnología,list of restriction enzyme cutting sites: bsa–bso,lista de sitios de corte de enzimas de restricción: bsa – bso,lista de locais de corte de enzimas de restrição: bsa – bso
Salud,cell therapy,terapia celular,terapia celular
Biotecnología,list of restriction enzyme cutting sites: bsp–bss,lista de sitios de corte de enzimas de restricción: bsp – bss,lista de locais de corte de enzimas de restrição: bsp – bss
Biotecnología,list of restriction enzyme cutting sites: bst–bv,lista de sitios de corte de enzimas de restricción: bst – bv,lista de locais de corte de enzimas de restrição: bst – bv
Biotecnología,list of restriction enzyme cutting sites: c–d,lista de sitios de corte de enzimas de restricción: c – d,lista de locais de corte de enzimas de restrição: c – d
Salud,gene therapies,terapias genéticas,terapias genéticas
Biotecnología,list of restriction enzyme cutting sites: e–f,lista de sitios de corte de enzimas de restricción: e – f,lista de locais de corte de enzimas de restrição: e – f
Biotecnología,list of restriction enzyme cutting sites: g–k,lista de sitios de corte de enzimas de restricción: g – k,lista de locais de corte de enzimas de restrição: g – k
Biotecnología,list of restriction enzyme cutting sites: l–n,lista de sitios de corte de enzimas de restricción: l – n,lista de locais de corte de enzimas de restrição: l – n
Biotecnología,list of restriction enzyme cutting sites: o–r,lista de sitios de corte de enzimas de restricción: o – r,lista de locais de corte de enzimas de restrição: o – r
Biotecnología,list of restriction enzyme cutting sites: s,lista de sitios de corte de enzimas de restricción: s,lista de locais de corte de enzimas de restrição: s
Biotecnología,list of restriction enzyme cutting sites: t–z,lista de sitios de corte de enzimas de restricción: t – z,lista de locais de corte de enzimas de restrição: t – z
Biotecnología,nb.bbvci,nb.bbvci,nb.bbvci
Biotecnología,neoepitope,neoepítopo,neoepítopo
Biotecnología,nlaiii,nlaiii,nlaiii
Biotecnología,zinc finger nuclease,nucleasa de dedos de zinc,nuclease dedo de zinco
Residuos,biological wastewater treatment,tratamiento biológico de aguas residuales,tratamento biológico de águas residuais
Residuos,wastewater treatment,tratamiento de aguas residuales,tratamento de água poluída
Residuos,municipal wastewater treatment,tratamiento de aguas residuales municipales,tratamento de águas residuais municipais
Transversal,water and wastewater treatment,tratamiento de aguas y aguas residuales,tratamento de água e esgoto
Residuos,waste treatment,tratamiento de desechos,tratamento de esgoto
Transversal,product traceability,trazabilidad del producto,rastreabilidade do produto
Transversal,triple top line,triple línea superior,linha superior tripla
Transversal,triple bottom line,triple resultado final,resultado triplo
Biotecnología,aminoallyl nucleotide,nucleótido aminoalilo,nucleotídeo aminoalil
Energía,sustainable energy use,uso sostenible de la energía,uso sustentável de energia
Agro,sustainable land use,uso sostenible de la tierra,uso sustentável da terra
Transversal,co-products valorization,valorización de coproductos,valorização de coprodutos
Transversal,by-products valorization,valorización de subproductos,valorização de subprodutos
Biotecnología,lysozyme pegylation,pegilación de lisozima,peguilação de lisozima
Biotecnología,fermentation processes of beverages,procesos de fermentación de bebidas.,processos de fermentação de bebidas
Biotecnología,pubgene,pubgene,pubgene
Salud,virotherapy,viroterapia,viroterapia
Salud,oncolytic herpes virus,virus del herpes oncolítico,herpes vírus oncolítico
Biotecnología,plant genetics,genética vegetal,genética de plantas
Transversal,vitamins,vitaminas,vitaminas
Biotecnología,pvsripo,pvsripo,pvsripo
Transversal,bioresources,biorrecursos,recursos biológicos
Transversal,sustainable resource management,gestión sostenible de recursos,gestão sustentável de recursos
Transversal,green chemistry,química verde,Química verde
Transversal,biogenic resources,recursos biogénicos,recursos biogênicos
Turismo,biocultural asset,activo biocultural,ativo biocultural
Turismo,biodiversity conservation,conservación de la biodiversidad,conservação da Biodiversidade
Turismo,bioregion,bioregion,biorregião
Turismo,bird biodiversity,biodiversidad de aves,biodiversidade de aves
Turismo,bird tourism,aviturismo,turismo de aves
Turismo,bird watching,observación de aves,observação de pássaros
Turismo,blue destiny,destino azul,destino azul
Turismo,blue infrastructure,infraestructura azul,infraestrutura azul
Turismo,community ecosystem monitoring network,red de monitoreo comunitario de ecosistemas,rede comunitária de monitoramento de ecossistemas
Turismo,community tourism,turismo comunitario,turismo comunitário
Turismo,conscious travel,viaje consciente,viagem consciente
Turismo,ecological values,valores ecológicos,valores ecológicos
Turismo,ecotourism,ecoturismo,ecoturismo
Turismo,ecotourism services value chain,cadena de valor de servicios ecoturísticos,cadeia de valor dos serviços de ecoturismo
Turismo,energy efficiency,eficiencia energética,eficiência energética
Turismo,environmental awareness,sensibilización ambiental,consciência ambiental
Turismo,environmental compensation,compensación ambiental,compensação ambiental
Turismo,environmental conservation,conservacion medioambiental,conservação ambiental
Turismo,environmental footprint,huella ambiental,pegada ecológica
Turismo,environmental impact,impacto ambiental,impacto ambiental
Turismo,environmental liability management,gestión de pasivos ambientales,gestão de passivo ambiental
Turismo,environmental performance of tourism,desempeño ambiental del turismo,desempenho ambiental do turismo
Turismo,environmental responsibility,responsabilidad ambiental,responsabilidade ambiental
Turismo,environmental values,valores ambientales,valores ambientais
Turismo,governance for sustainable tourism,gobernanza para el turismo sostenible,governança para o turismo sustentável
Turismo,green building,edificio verde,construção verde
Turismo,green infrastructure,infraestructura verde,infraestrutura verde
Turismo,green tourism industry,industria turística verde,indústria do turismo verde
Turismo,herpet observation,observación de herpetos,observação de herpets
Turismo,innovative destination,destino innovador,destino inovador
Turismo,innovative tourism offer,oferta innovadora de turismo,oferta turística inovadora
Turismo,innovative tourism products ,Productos turísticos innovadores ,produtos turísticos inovadores 
Turismo,intangible cultural heritage,patrimonio cultural inmaterial,herança cultural intangível
Turismo,loading capacity,capacidad de carga,capacidade de carregamento
Turismo,local communities,comunidades locales,comunidades locais
