sectors,keyword_pt
Biotecnología,transcriptômica espacial
Biotecnología,transfecção assistida por ímã
Biotecnología,transferir sistema binário de DNA
Energía,sequestro de carbono
Piscícola,monitorização da pesca
Agro,comida segura
Biotecnología,transistor de efeito de campo de DNA
Residuos,serragem
Agro,serviços agrícolas
Transversal,serviços de ecossistemas
Forestal,silvicultura
Transversal,simulação de bioprocessos
Transversal,simulação de processo
Transversal,simulação matlab
Transversal,síntese orgânica
Biotecnología,vetores em terapia genética
Agro,sistema agroalimentar
Agro,sistema agroflorestal
Energía,sistema de biogás
Transversal,sistema de biomassa
Biotecnología,sequenciamento de próxima geração
Biotecnología,alo-715
Agro,sistemas alimentares
Piscícola,sistemas de aquicultura
Agro,sistemas de energia alimentar
Energía,sistemas de energia renovável
Energía,sistemas de energia solar
Salud,sistemas de entrega
Energía,sistemas de gás natural
Transversal,sistemas de produção
Transversal,sistemas dinâmicos
Biotecnología,genética de plantas
Transversal,soluções baseadas na natureza
Transversal,soluções climáticas
Biotecnología,bamhi
Biotecnología,biologia molecular vegetal
Transversal,sustentar a biodiversidade
Transversal,sustentabilidade
Transversal,sustentabilidade computacional
Transversal,sustentabilidade ambiental
Transversal,sustentabilidade urbana
Biotecnología,coleção de banco de dados biocyc
Biotecnología,construção de código de função-espaçador-lipídio
Agro,solo
Biotecnología,ecori
Transversal,taxonomia
Biotecnología,biotecnologia vegetal
Biotecnología,eftilagimod alfa
Biotecnología,endonuclease de retalho
Agro,técnicas de armazenamento
Biotecnología,expor
Biotecnología,fluxo
Transversal,técnicas de descontaminação
Residuos,técnicas de eliminação de resíduos
Biotecnología,Genocad
Biotecnología,eu-crei
Biotecnología,ilcd
Transversal,tecnologia climática
Transversal,tecnologia de bioprocessos
Energía,tecnologia de combustível de biomassa
Biotecnología,lista de locais de corte de enzimas de restrição
Agro,tecnologia alimentar
Transversal,tecnologia de microalgas
Transversal,tecnologia de química verde
Biotecnología,lista de locais de corte de enzimas de restrição: a
Energía,tecnologia de energia de biocombustíveis
Energía,tecnologia para energias renováveis
Biotecnología,lista de locais de corte de enzimas de restrição: ba – bc
Transversal,tecnologia verde
Energía,tecnologias de energia renovável
Energía,tecnologias de hidrogénio
Biotecnología,lista de locais de corte de enzimas de restrição: bd – bp
Salud,terapia anti-sentido
Biotecnología,lista de locais de corte de enzimas de restrição: bsa – bso
Salud,terapia celular
Biotecnología,lista de locais de corte de enzimas de restrição: bsp – bss
Biotecnología,lista de locais de corte de enzimas de restrição: bst – bv
Biotecnología,lista de locais de corte de enzimas de restrição: c – d
Salud,terapias genéticas
Biotecnología,lista de locais de corte de enzimas de restrição: e – f
Biotecnología,lista de locais de corte de enzimas de restrição: g – k
Biotecnología,lista de locais de corte de enzimas de restrição: l – n
Biotecnología,lista de locais de corte de enzimas de restrição: o – r
Biotecnología,lista de locais de corte de enzimas de restrição: s
Biotecnología,lista de locais de corte de enzimas de restrição: t – z
Biotecnología,nb.bbvci
Biotecnología,neoepítopo
Biotecnología,nlaiii
Biotecnología,nuclease dedo de zinco
Residuos,tratamento biológico de águas residuais
Residuos,tratamento de água poluída
Residuos,tratamento de águas residuais municipais
Transversal,tratamento de água e esgoto
Residuos,tratamento de esgoto
Transversal,rastreabilidade do produto
Transversal,linha superior tripla
Transversal,resultado triplo
Biotecnología,nucleotídeo aminoalil
Energía,uso sustentável de energia
Agro,uso sustentável da terra
Transversal,valorização de coprodutos
Transversal,valorização de subprodutos
Biotecnología,peguilação de lisozima
Biotecnología,processos de fermentação de bebidas
Biotecnología,pubgene
Salud,viroterapia
Salud,herpes vírus oncolítico
Biotecnología,genética de plantas
Transversal,vitaminas
Biotecnología,pvsripo
Transversal,recursos biológicos
Transversal,gestão sustentável de recursos
Transversal,Química verde
Transversal,recursos biogênicos
Turismo,ativo biocultural
Turismo,conservação da Biodiversidade
Turismo,biorregião
Turismo,biodiversidade de aves
Turismo,turismo de aves
Turismo,observação de pássaros
Turismo,destino azul
Turismo,infraestrutura azul
Turismo,rede comunitária de monitoramento de ecossistemas
Turismo,turismo comunitário
Turismo,viagem consciente
Turismo,valores ecológicos
Turismo,ecoturismo
Turismo,cadeia de valor dos serviços de ecoturismo
Turismo,eficiência energética
Turismo,consciência ambiental
Turismo,compensação ambiental
Turismo,conservação ambiental
Turismo,pegada ecológica
Turismo,impacto ambiental
Turismo,gestão de passivo ambiental
Turismo,desempenho ambiental do turismo
Turismo,responsabilidade ambiental
Turismo,valores ambientais
Turismo,governança para o turismo sustentável
Turismo,construção verde
Turismo,infraestrutura verde
Turismo,indústria do turismo verde
Turismo,observação de herpets
Turismo,destino inovador
Turismo,oferta turística inovadora
Turismo,produtos turísticos inovadores 
Turismo,herança cultural intangível
Turismo,capacidade de carregamento
Turismo,comunidades locais
Turismo,oferta de turismo de baixo carbono
Turismo,mitigação da pegada ambiental do turismo
Turismo,património nacional
Turismo,capital natural
Turismo,bens naturais
Turismo,herança natural
Turismo,parques naturais
Turismo,Reserva natural
Turismo,atração turística natural
Turismo,riqueza natural
Turismo,turismo científico de natureza
Turismo,turismo de natureza
Turismo,experiências turísticas focadas na natureza
Turismo,destino turístico sem plástico
Turismo,área natural protegida
Turismo,prestação de serviços ecossistêmicos
Turismo,turismo regenerativo
Turismo,narrativa turística regional
Turismo,destino turístico resiliente
Turismo,gestão responsável de recursos
Turismo,gestão de riscos para o turismo sustentável
Turismo,rotas apoiadas pelo capital natural
Turismo,turismo científico de natureza
Biotecnología,terapia de DNA de plasmídeo hgf humano
Turismo,tratamento de esgoto
Turismo,turismo sustentável inteligente
Turismo,destino turístico inteligente
Turismo,inclusão social
Turismo,integridade sociocultural
Turismo,gestão de resíduos sólidos
Turismo,turismo de natureza especializado 
Turismo,ecossistemas estratégicos
Turismo,sustentabilidade das atrações 
Turismo,sustentabilidade da cadeia de valor do turismo
Turismo,sustentabilidade do destino turístico
Turismo,consumo sustentável
Turismo,infraestrutura sustentável
Turismo,práticas sustentáveis
Turismo,produto turístico especializado sustentável
Turismo,Turismo sustentável
Turismo,negócio de turismo sustentável
Turismo,"indicadores de turismo sustentável"
Turismo,investimento em turismo sustentável
Turismo,gestão do turismo sustentável
Turismo,oferta de turismo sustentável
Turismo,produção turística sustentável
Turismo,produtos turísticos sustentáveis
Turismo,projeto de turismo sustentável
Turismo,qualidade do turismo sustentável
Turismo,destinos turísticos sustentáveis
Turismo,cultura de viagem sustentável
Turismo,corresponsabilidade turística
Turismo,desenvolvimento do turismo
Turismo,turismo em áreas protegidas
Turismo,plataforma de inteligência turística
Turismo,gerência de Turismo
Turismo,sustentabilidade do turismo
Turismo,relação turismo-biodiversidade
Turismo,comportamento turístico
Turismo,geoportal turístico
Turismo,poder turístico
Turismo,infraestrutura turística
Turismo,recursos naturais únicos
Turismo,valor adicionado
Turismo,Excursão virtual
Turismo,pegada hídrica
Turismo,gerência de água
Turismo,animais selvagens
Biotecnología,virocap
Turismo,estratégia científica de turismo de natureza
Turismo,plano de desenvolvimento do turismo
Agro,sistemas agroalimentares regenerativos
Agro,sistema socioecológico
Agro,agricultura regenerativa
Agro,microorganismos
Agro,fixação de nitrogênio
Agro,saúde do solo
Agro,fertilização biológica
Agro,composto
Agro,sistema agrícola
Agro,fertilidade do solo
Agro,material orgânico
Transversal,bioeconômico
Transversal,bioeconômico
Agro,ciclo de nutrientes
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Agro,polinização abiótica
Transversal,abundância ecológica
Forestal,restauração ativa
Forestal,florestação
Agro,regimes agroambientais
Agro,biologia agrícola
Agro,química agrícola
Agro,cooperativas agrícolas
Agro,crédito agrícola
Agro,educação agrícola
Agro,Engenharia Agrícola
Agro,empresas agrícolas
Agro,extensificação agrícola_1
Agro,extensão agrícola
Agro,genética agrícola
Agro,sistemas de informação agrícola
Agro,intensificação agrícola
Agro,terras agrícolas
Agro,mercados agrícolas
Agro,planejamento agrícola
Agro,política agrícola
Agro,preços agrícolas
Agro,produção agrícola
Agro,paisagens de produção agrícola
Agro,produtos agrícolas
Agro,pesquisa agrícola
Agro,resíduos agrícolas
Agro,sistemas agrosilviculturais
Agro,sistemas agrosilvipastoris
Agro,agrodesmatamento
Agro,zonas agroecológicas
Agro,agro-silvo-pastorilismo
Agro,agrobiodiversidade (ou biodiversidade agrícola)
Agro,agrobiodiversidade (ou biodiversidade agrícola)
Agro,agricultura agroecológica
Agro,proteção agroecológica de cultivos
Agro,projeto agroecológico
Agro,infraestrutura agroecológica
Agro,transição agroecológica
Agro,agroecologia_1
Agro,agroecossistema
Agro,saúde do agroecossistema
Agro,agrossilvicultura_1
Agro,agroindústria
Transversal,espécies exóticas invasoras
Transversal,espécies alienígenas
Transversal,alelopatia
Agro,Solo aluvial
Agro,agricultura alternativa
Transversal,anaeróbico
Transversal,digestão anaeróbica em fazendas
Agro,bioma antropogênico
Transversal,paisagens antropogênicas
Piscícola,aquapônico
Piscícola,ecossistemas aquáticos
Piscícola,ambiente aquático
Biotecnología,melhoramento molecular de plantas
Transversal,aquífero
Transversal,aquíferos
Transversal,ecossistemas áridos
Transversal,regiões áridas
Transversal,zonas áridas
Transversal,aridificação
Transversal,biodiversidade associada
Agro,autonomia em sistemas agrícolas
Transversal,ermo
Transversal,bioclimatologia
Turismo,diversidade biocultural
Transversal,perda de biodiversidade
Agro,agricultura biodinâmica
Transversal,biofumigação
Energía,biogás
Transversal,biogênese
Transversal,biogeoquímica
Transversal,biogeografia
Transversal,adaptação biológica
Transversal,diversidade Biológica
Transversal,efeitos biológicos
Transversal,insumo biológico
Transversal,regulação biológica
Transversal,pesquisa biológica
Transversal,recursos biológicos
Energía,energia de biomassa
Transversal,biomas
Transversal,biometria
Agro,agroclimatologia
Transversal,recurso biológico
Transversal,doenças animais
Transversal,biosfera
Transversal,reservas da biosfera
Transversal,Biota
Transversal,ecologia animal
Transversal,criação animal
Transversal,anóxico
Transversal,facilitação biótica
Transversal,homogeneização biótica
Transversal,pássaros
Transversal,pesquisa aplicada
Transversal,carbono azul
Piscícola,animais aquaticos
Transversal,pastas aquosas
Transversal,procriação artificial
Transversal,autofertilidade
Forestal,evitou o desmatamento em conjunto com florestamento e reflorestamento
Agro,apicultura
Biotecnología,estabilização biotécnica
Transversal,biocapacidade
Transversal,biochar
Transversal,Demanda de oxigênio bioquímico
Transversal,carbono
Transversal,gestão biocultural
Turismo,refúgio biocultural
Transversal,pegada de biodiversidade
Transversal,pegada de carbono
Transversal,compensação de carbono
Transversal,hotspot de biodiversidade
Transversal,sumidouro de carbono
Transversal,armazenamento de carbono
Transversal,compensação de biodiversidade
Transversal,absorção de carbono
Transversal,bioetanol
Transversal,biogênico
Transversal,espécies casuais
Transversal,ciclos biogeoquímicos
Transversal,demanda biológica de oxigênio
Transversal,sistema biofísico
Transversal,valor biofísico
Transversal,biossegurança
Transversal,jardins botânicos
Transversal,zonas tampão
Transversal,compostos químicos
Transversal,efeitos químicos
Transversal,elementos químicos
Transversal,abelha
Transversal,cinética química
Transversal,impostos sobre carbono
Transversal,certificação ambiental
Transversal,propriedades quimicas
Transversal,espécies carismáticas
Transversal,ecossistema quimiossintético
Transversal,adaptação às alterações climáticas
Transversal,quimiossíntese
Transversal,dados climáticos
Transversal,Medicina Clínica
Transversal,sistemas de água fechados
Transversal,proteção costeira
Transversal,zonas costeiras
Transversal,café
Transversal,governança colaborativa
Transversal,regulação climática
Agro,agricultura inteligente em termos climáticos
Agro,agricultura inteligente para o clima (csa)
Transversal,variabilidade climática
Transversal,comunidade ecológica
Forestal,florestas geridas pela comunidade
Transversal,conservação baseada na comunidade
Transversal,gestão de recursos naturais baseada na comunidade
Transversal,cultura de cobertura
Transversal,auxiliares de colheita
Transversal,fechando ciclos de nutrientes
Transversal,polinização cruzada
Transversal,serviços ecossistêmicos culturais
Forestal,silvicultura comunitária
Transversal,semeadura direta sob cultura de cobertura
Agro,agricultura ecologicamente intensiva
Forestal,manejo florestal comunitário
Transversal,monitoramento baseado na comunidade
Transversal,vulnerabilidade económica
Transversal,controle biológico de conservação
Transversal,ecopatologia
Transversal,contabilidade do ecossistema
Transversal,função do ecossistema
Transversal,integridade do ecossistema
Transversal,sensibilidade do ecossistema
Transversal,estrutura do ecossistema
Transversal,efeito de borda
Transversal,química ambiental
Agro,intensificação de culturas
Agro,colheita parente selvagem
Agro,agropecuária
Agro,terras agrícolas
Agro,diversificação do plano de cultivo
Agro,sistema de cultivo
Transversal,informação ambiental
Transversal,estatísticas ambientais
Transversal,análise de dados
Transversal,coleção de dados
Transversal,processamento de dados
Transversal,flora
Transversal,recursos forrageiros
Transversal,desertos
Transversal,biologia popular
Transversal,controle alimentar
Forestal,floresta seca
Transversal,estatísticas alimentares
Transversal,pastoreio no início da primavera
Transversal,certificação ecológica
Turismo,eco-comunalismo
Transversal,dinâmica eco-evolutiva
Transversal,eco-informática
Transversal,rotulagem ecológica
Transversal,ecocentrismo (ou biocentrismo)
Transversal,ecohidrologia
Transversal,ponto de ruptura ou limite ecológico (ou socioecológico)
Transversal,Equilibrio ecológico
Transversal,comunidade ecológica
Transversal,conectividade ecológica
Transversal,crise ecológica
Transversal,integridade ecológica
Transversal,justiça ecológica
Transversal,conhecimento ecológico
Transversal,processos ecológicos
Transversal,pesquisa ecológica
Agro,agricultura ecologicamente intensificada
Transversal,ecologia dos sistemas alimentares
Transversal,contratos públicos verdes
Transversal,agua Verde
Transversal,proliferação de algas prejudiciais
Transversal,hidrogramas
Transversal,abordagem ecossistêmica
Transversal,dados hidrológicos
Transversal,bens ecossistêmicos
Transversal,restauração do ecossistema
Transversal,serviço ecossistêmico
Agro,serviços ecossistêmicos em agroecossistemas
Transversal,adaptação baseada no ecossistema
Transversal,adaptação baseada no ecossistema às alterações climáticas
Transversal,abordagem baseada no ecossistema
Transversal,gestão baseada em ecossistemas
Transversal,ecossistemas
Transversal,agricultura integrada
Agro,consórcio
Transversal,polinizador introduzido
Transversal,espécies invasivas
Transversal,animais de laboratório
Transversal,economia da terra
Transversal,degradação ambiental
Transversal,Economia ambiental
Transversal,Educação ambiental
Transversal,Engenharia Ambiental
Transversal,educação marinha
Transversal,indicadores ambientais
Transversal,Protocolo de Nagoia
Transversal,curva de kuznets ambiental (ekc)
Transversal,legislação ambiental
Transversal,monitoramento ambiental
Transversal,Qualidade ambiental
Transversal,Ciencias ambientais
Transversal,lei natural
Transversal,exploração oceânica
Forestal,manejo florestal extensivo
Transversal,resiliência agrícola
Transversal,pesca
Transversal,agricultura camponesa
Transversal,sementes camponesas
Transversal,pastagens permanentes
Transversal,fotoquímica
Transversal,flores
Transversal,dinâmica de fluidos
Transversal,laboratórios de pesquisa
Transversal,consumo de comida
Transversal,costumes alimentares
Transversal,recursos alimentares
Transversal,autossuficiência alimentar
Transversal,soberania alimentar
Transversal,resiliência
Transversal,restauração
Forestal,incêndios florestais
Forestal,jardim florestal
Forestal,produtos florestais
Forestal,recursos florestais
Transversal,pastoreio rotativo
Forestal,florestas
Transversal,biodiversidade funcional
Transversal,genes
Transversal,genoma
Transversal,genótipo
Transversal,germoplasma
Biotecnología,melhoramento de plantas
Transversal,títulos verdes
Transversal,economia verde
Transversal,crescimento verde
Transversal,estrume verde
Transversal,gás de efeito estufa
Transversal,perda de habitat
Transversal,modificação de habitat
Transversal,especialista em habitat
Agro,agricultura de alto valor ambiental
Transversal,pastagens semeadas de alta diversidade
Transversal,sistema socioecológico
Transversal,ecologia humana
Transversal,genética humana
Agro,degradação do solo
Agro,umidade do solo
Agro,água do solo
Transversal,hidrobiologia
Transversal,ciclo hidrológico
Transversal,análise espectroquímica
Transversal,espectrômetros
Agro,administração agrícola
Agro,química agrícola
Transversal,animais selvagens
Agro,legislação agrícola
Agro,excedente agrícola
Transversal,doenças animais
Transversal,gestão integrada de recursos hídricos
Transversal,manejo integrado de ervas daninhas
Transversal,gorduras animais
Transversal,óleos animais
Transversal,espécies exóticas invasoras
Biotecnología,reprodução animal
Biotecnología,vírus animais
Biotecnología,equipamento de laboratório
Biotecnología,Planta piloto da Bio Base Europe
Transversal,biomassa acima do solo
Transversal,absorção
Transversal,adsorção
Transversal,poder de adsorção
Transversal,aerobiose
Agro,política agrária
Agro,reforma agrária
Agro,sistemas agrários
Transversal,algas
Transversal,algas
Transversal,sequência de aminoácidos
Transversal,aminoácidos
Transversal,aminoálcoois
Transversal,anfíbios
Forestal,política florestal
Transversal,anaerobiose
Transversal,laboratórios de análise
Agro,agricultura multifuncional
Transversal,análise de funções sistêmicas
Transversal,análise de estruturas sistêmicas
Forestal,florestas nativas
Transversal,bioquímica analítica
Transversal,ananás
Biotecnología,biologia animal
Agro,ecologia animal
Agro,alimentação animal
Agro,alimentação animal
Agro,fibras animais
Agro,estrume animal
Agro,nutrição animal
Agro,produção animal
Agro,animalidade
Agro,animais
Transversal,anti-infecciosos
Salud,anti-inflamatórios
Transversal,antiarrítmicos
Transversal,antibiótico
Transversal,antibióticos
Salud,anticorpos
Transversal,formação de anticorpos
Transversal,especificidade do anticorpo
Transversal,anticolinérgicos
Salud,anticoagulantes
Transversal,anticonvulsivantes
Transversal,antidepressivos
Transversal,antidiabéticos
Transversal,antieméticos
Transversal,antifúngicos
Transversal,complexo antígeno-anticorpo
Agro,Agricultura orgânica
Transversal,reações antígeno-anticorpo
Salud,antígenos
Transversal,anti-histamínicos
Transversal,anti-hipertensivos
Transversal,antimetabólitos
Agro,agricultura permanente
Transversal,antineoplásicos
Transversal,antiparasitário
Transversal,antiparkinsoniano
Transversal,antiprotozoário
Transversal,antissepsia
Transversal,anti-sépticos
Agro,economia do solo
Transversal,antiespermatogênico
Transversal,antitoxinas
Transversal,antituberculoso
Transversal,antitússicos
Transversal,agentes antivirais
Transversal,antivirais
Agro,árvore de maçã
Transversal,aplicação de c+t
Transversal,aplicação de resultados de pesquisa e desenvolvimento
Transversal,pesquisa aplicada
Residuos,resíduos marrons
Transversal,Ciência aplicada
Agro,terra arável
Transversal,aracnídeos
Forestal,arboricultura
Transversal,artrópodes
Agro,inseminação artificial
Agro,relocalização da agricultura
Transversal,áscaris
Transversal,astrobiologia
Transversal,autoecologia
Transversal,centros autônomos de pesquisa e desenvolvimento
Transversal,capacidade de água disponível
Transversal,variação genética média
Agro,abacate
Agro,abacate
Agro,abacates
Transversal,vacinas bacterianas
Transversal,bacteriologistas
Transversal,bacteriologia
Agro,bibliotecas agrícolas
Agro,índice de orientação agrícola
Transversal,bacteriófago
Transversal,bagaço
Transversal,bambu
Agro,banana
Agro,bananas
Agro,bananas
Agro,agricultura de conservação_1
Agro,cevada
Transversal,técnicas de conservação
Agro,cevada
Agro,feijões
Agro,feijões
Agro,faia
Agro,açúcar de beterraba
Agro,plantações
Transversal,beggiatoales
Forestal,desmatamento
Agro,bergamota
Energía,manutenção de planta de biogás
Transversal,produto químico de base biológica
Transversal,compósito de base biológica
Transversal,fertilizante de base biológica
Transversal,indústria de base biológica
Transversal,material de base biológica
Transversal,produto de base biológica
Transversal,produtos de base biológica
Energía,bio-butanol
Energía,biocatalisador
Energía,bio-char
Transversal,bioquímica
Transversal,bioconversão
Energía,bio-bruto
Energía,bio-bruto
Transversal,saco biodegradável
Transversal,biodegradação
Energía,biodiesel
Energía,produção de biodiesel
Transversal,bio-secagem
Transversal,bioeconomia
Energía,bioetanol
Energía,produção de bioetanol
Transversal,biofertilizante
Transversal,biofertilizante
Transversal,biofilme
Transversal,biofiltro
Transversal,biocombustível
Forestal,degradação florestal_1
Forestal,transição florestal_1
Agro,fertilidade biológica do solo
Agro,agricultura de conservação do solo
Energía,produção de biocombustíveis
Energía,biogás
Energía,operar planta de biogás
Agro,vida do solo
Agro,mapas de solo
Energía,produção de biogás
Energía,biogasolina
Energía,bio-hidrogênio
Agro,recursos do solo
Agro,ciências do solo
Energía,produção de biohidrogênio
Energía,bio-hitano
Energía,biolubrificante
Transversal,biofabricação
Transversal,biofabricação
Energía,biometano
Energía,Bio-óleo
Agro,hotspot de agrobiodiversidade
Agro,biopesticida
Biotecnología,bioplástico
Transversal,biopolímero
Transversal,bioprocesso
Transversal,bioproduto
Energía,biorreator
Energía,aterro de biorreator
Energía,bio-recuperação
Transversal,biorrefinaria
Forestal,silvicultura comunitária sustentável
Transversal,biorremediação
Transversal,biossorção
Agro,agricultura intensiva sustentável
Agro,gestão sustentável da matéria orgânica do solo
Transversal,bio-surfactante
Transversal,biossíntese
Transversal,biotransformação
Transversal,bioacumulação
Transversal,mudança tecnológica
Agro,produto químico de base biológica
Agro,compósito de base biológica
Agro,economia de base biológica
Agro,fertilizante de base biológica
Agro,indústria de base biológica
Agro,material de base biológica
Agro,produto de base biológica
Energía,biobutanol
Transversal,biocatalisador
Transversal,genética bioquímica
Transversal,Demanda de oxigênio bioquímico
Transversal,fenômenos bioquímicos
Transversal,bioclimatologia
Transversal,materiais biocompatíveis
Transversal,bioconversão
Energía,biocrude
Energía,biocrude
Forestal,As florestas tropicais
Transversal,saco biodegradável
Transversal,biodegradação
Energía,produção de biodiesel
Transversal,hotspots de pegada de biodiversidade
Transversal,índice de integridade da biodiversidade
Agro,biosecagem
Transversal,bioemulsionantes
Transversal,bioemulsões
Energía,bioetanol
Residuos,águas residuais
Agro,biofertilizante
Agro,biofertilizante
Transversal,biofiltro
Energía,biogás
Energía,biogás
Energía,produção de biogás
Energía,biogasolina
Energía,biogênese
Energía,compostos orgânicos voláteis biogênicos
Transversal,biogeografia
Transversal,biogravitação
Transversal,bioitano
Transversal,bioinstrumentação
Transversal,adaptação biológica
Transversal,equilíbrio biológico
Transversal,fatores biológicos
Transversal,controle biológico de pragas
Agro,empresas agrícolas
Agro,cooperativas agrícolas
Agro,desenvolvimento agrícola
Agro,economia agrícola
Transversal,fenômenos biológicos
Transversal,produtos biológicos
Agro,planejamento agrícola
Energía,planta de biogás
Agro,potencial agrícola
Agro,produção agrícola
Agro,projetos agrícolas
Agro,regiões agrícolas
Agro,resíduos agrícolas
Transversal,regeneração biológica
Agro,serviços agrícolas
Agro,sistemas agrícolas
Agro,tecnologia agrícola
Agro,agricultura para exportação
Agro,agricultura. alimentando
Agro,operação do agronegócio
Agro,complexos agroindustriais
Agro,engenharia agronômica
Agro,pesquisa e desenvolvimento agronômico
Agro,agrônomos
Agro,agrônomos
